,funding_total_usd,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,is_successful,category
8378,64732745.0,GBR,E2,London,Brighton,6,2007-10-01,2006-05-01,2015-10-29,0,Analytics
8380,410000.0,USA,CA,Los Angeles,Valencia,3,2014-06-20,2015-01-07,2015-10-15,0,Advertising Platforms
8381,6215000.0,USA,NY,New York City,New York,6,2009-04-08,2008-04-01,2014-06-05,0,Brand Marketing
8382,16000.0,USA,DC,"Washington, D.C.",Washington,1,2014-09-01,2014-11-10,2014-11-10,0,Real Estate
8383,850000.0,USA,DE,Dover,Dover,1,2013-01-01,2014-01-01,2014-01-01,0,Consumer Electronics
8384,400000000.0,USA,CA,Los Angeles,Los Angeles,1,2007-01-01,2007-06-03,2007-06-03,0,Games
8385,799686.0,,,,,1,2005-01-01,2015-07-01,2015-07-01,0,Environmental Innovation
8386,750000.0,USA,MA,Boston,Jamaica Plain,1,2010-06-23,2012-01-18,2012-01-18,0,Android
8388,400000.0,NZL,,,,1,2014-01-01,2015-11-25,2015-11-25,0,Financial Services
8391,1845836.0,USA,CA,SF Bay Area,San Francisco,3,2011-06-05,2010-03-01,2013-04-01,0,Communities
8392,550000.0,USA,AZ,Phoenix,Phoenix,1,2014-01-01,2013-10-01,2013-10-01,0,Finance Technology
8395,22000000.0,USA,OH,Cleveland,Cleveland,1,2008-01-01,2014-08-12,2014-08-12,0,Health and Wellness
8398,8080000.0,USA,PA,Philadelphia,Malvern,2,1995-01-01,2005-08-16,2007-06-01,0,Software
8399,1450000.0,USA,NY,New York City,New York,3,2013-03-01,2013-03-01,2015-06-01,0,Consumer Internet
8401,6800000.0,USA,WI,Madison,Madison,4,2008-01-01,2010-01-01,2015-06-25,0,Enterprise Software
8402,2000000.0,TTO,8,TTO - Other,Brazil,1,2008-01-01,2014-12-02,2014-12-02,0,Business Services
8403,1660000.0,BRA,2,Sao Paulo,São Paulo,1,2011-01-01,2011-10-13,2011-10-13,0,Mobile
8404,1300000.0,USA,NY,Syracuse,Syracuse,1,2012-02-05,2013-01-20,2013-01-20,0,Social Network Media
8406,6300000.0,USA,CA,SF Bay Area,Brisbane,3,2011-01-01,2012-10-03,2014-10-01,0,Automotive
8407,31000000.0,USA,CA,San Diego,Carlsbad,4,2004-01-01,2006-05-30,2009-05-21,1,Security
8408,14300000.0,,,,,1,2014-01-01,2015-11-10,2015-11-10,0,Consumers
8409,4400000.0,USA,CA,SF Bay Area,San Francisco,2,2011-01-01,2011-01-01,2011-02-01,1,Advertising
8410,40000.0,CHL,12,Santiago,Santiago,2,2012-01-01,2014-03-03,2014-06-01,0,Emerging Markets
8411,62000000.0,CHN,22,Beijing,Beijing,3,2012-05-01,2013-03-01,2014-12-22,0,Travel
8412,21400000.0,USA,CA,Los Angeles,Los Angeles,2,1998-01-01,2006-03-01,2007-07-01,1,Advertising
8413,295000.0,GBR,L9,Sheffield,Sheffield,1,2005-01-01,2008-12-04,2008-12-04,0,Sports
8414,2000000.0,JPN,40,Tokyo,Tokyo,2,2013-09-01,2014-01-02,2014-08-14,0,Digital Media
8415,2800000.0,USA,NY,New York City,New York,2,2006-01-01,2010-01-01,2015-04-10,0,Events
8416,20000000.0,USA,TX,Austin,Austin,2,2005-08-28,2007-11-12,2010-04-22,1,Security
8417,200000.0,ESP,60,Valencia,Valencia,1,2011-11-25,2011-11-25,2011-11-25,0,Coupons
8418,2081497.0,USA,NY,New York City,New York,2,2012-01-01,2014-04-03,2015-02-23,0,E-Commerce
8422,5900000.0,USA,CA,SF Bay Area,Redwood City,2,2009-01-01,2012-08-13,2013-07-11,0,Health and Wellness
8423,17363449.0,USA,CA,SF Bay Area,San Francisco,4,2011-03-01,2011-11-14,2013-04-01,0,Games
8425,30000.0,USA,TN,Nashville,Nashville,1,2011-01-01,2014-08-28,2014-08-28,0,Apps
8426,29800000.0,USA,TN,Nashville,Nashville,4,2006-01-01,2008-06-20,2013-09-24,0,Health and Wellness
8427,38810000.0,USA,CA,Anaheim,Irvine,3,2005-01-01,2008-03-28,2015-01-26,0,Health and Wellness
8428,27500000.0,CAN,QC,Montreal,Montréal,4,2012-11-01,2013-06-05,2015-09-17,0,Collaborative Consumption
8429,150000.0,CAN,ON,Toronto,Brampton,1,2000-05-05,2014-01-27,2014-01-27,0,Clean Technology
8430,3403684.0,GBR,C3,London,Cambridge,2,2006-01-01,2009-07-09,2012-11-01,0,Clean Technology
8431,4600000.0,USA,CA,SF Bay Area,Burlingame,2,2012-09-01,2013-10-17,2014-08-30,0,Hardware + Software
8433,43000000.0,USA,CA,SF Bay Area,San Jose,2,1999-01-01,2001-01-08,2003-02-07,0,Semiconductors
8435,575000.0,USA,MD,Baltimore,Baltimore,1,2014-01-01,2015-09-08,2015-09-08,0,Biotechnology
8436,10000.0,USA,MD,"Washington, D.C.",Southern Md Facility,1,2012-11-01,2013-12-01,2013-12-01,0,Automotive
8439,3000000.0,RUS,66,St. Petersburg,Saint Petersburg,1,2011-01-01,2013-03-01,2013-03-01,0,Ticketing
8440,500000.0,USA,NC,Charlotte,Charlotte,1,2008-01-01,2009-08-25,2009-08-25,0,Hardware + Software
8441,7000000.0,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2013-09-09,2014-11-18,0,Local
8442,1800000.0,USA,CA,SF Bay Area,San Francisco,1,2014-02-16,2015-06-25,2015-06-25,0,Apps
8443,2750000.0,USA,CA,SF Bay Area,Oakland,2,2009-01-01,2011-03-08,2014-02-24,0,Apps
8445,10000000.0,USA,CA,Los Angeles,Los Angeles,1,2007-01-01,2011-09-26,2011-09-26,0,News
8446,5000000.0,USA,CA,SF Bay Area,Mountain View,1,2003-01-01,2012-07-12,2012-07-12,0,Software
8448,100000000.0,USA,MN,MN - Other,Minnesota City,1,1943-01-01,2015-01-07,2015-01-07,0,Banking
8449,200000000.0,BRA,2,Sao Paulo,São Paulo,1,2007-01-01,2007-03-15,2007-03-15,1,Clean Technology
8454,120000.0,USA,AZ,Phoenix,Phoenix,1,2012-07-01,2013-11-27,2013-11-27,0,Big Data
